DATA_NEEM08_EU_CO2.txt Data by CSIRO, IUP, NOAA, uncertainties by Christo
Depth	CO2	grav corr	u(CO2)
0.00	381.693	381.693	0.570
4.90	386.879	386.797	0.713
10.10	388.181	387.970	0.746
14.80	387.486	387.147	0.722
19.75	386.732	386.265	0.673
27.54	384.091	383.419	0.574
34.72	382.348	381.472	0.610
50.00	379.148	377.852	0.613
54.90	377.697	376.276	0.580
57.40	376.710	375.225	0.580
59.90	375.356	373.814	0.581
61.95	373.891	372.305	0.590
63.85	367.246	365.671	0.614
65.75	357.310	355.778	0.673
68.05	341.885	340.419	0.871
70.05	332.037	330.613	1.556
72.00	325.478	324.082	2.490
74.08	320.496	319.122	3.792
75.90	319.415	318.045	5.146
77.75	316.960	315.601	6.011
